french|lingala
Cette journée la serat mouvementées                                                                                                Maman ne pleure pas, mon temps est arrivé|Mokolo yango ekozala makambo ma                                   Mama kolela te ya ngai ngonga ekoki
Dieu, Allah soient loué|Yawe Allah kumbama
Laisse-moi prendre soin du temps Maso                                                                                                Il faut qu’on s’apprête les gens du monde Bob Masua                                                                                                 Il faudra qu’on change de comportement pour le paradis                                                                                                 Toi l’homme du peuple, quand tu gagne un peu, épargne un peu                                                                                                 La carrière d’une personne finie par s’arrêter sache le                                                                                                 Le mandat de l’état aussi peut s’arrêter|Tika na milengela maso  tango oyo                                    Tika to mibongisa bato ya mokoli ih Bob Masua                                   Esengeli tomilengele na bizaleli po na lola                                   Yo moto ya mokili ozui moke bomba moke                                    Carriere ya moto pe esilaka ah ah yeba                                   Mandat ya l’état pe esilaka ah ah
Apres ma mort je refuse que mes enfants souffrent                                                                                                 Qu’ils aient honte des choses que leur papa a faites, ma souffrance est grande|Sima ya liwa na nga na boyi bana banga basambwa                                    bayoka soni eh na likambo papa asalaka ye ye ye mawa na nga eleki
Le jour où je suis devenu vieux|oh Mokolo ngai nakomi mobange
Le jour ou je suis devenu vieux les larmes aux yeux                                                                                                 Je pleur seulement l’époque ou j’étais jeune                                                                                                 Aujourd’hui je suis entrain de devenir vieux, s’ensuivra la mort|Mokolo ngai nakomi mobange mayi na miso                                    Na kolela kaka tango nazala na bolenge                                    Ngai yoyo lelo na komi kokoma mpaka sima liwa eh eh eh
Sache que le temps passe|Oyebaka tango ezali koleka
Quand le temps, il ne revient pas en arrière                                                                                                Essai d’attraper le temps quand le temps se présente, ne le laisse pas mon ami|Soki tango ekei ezongaka te lisusu                                    Meka okanga ya yo tango, tango esi eh se prensenter kotika yango te moninga
Sache que   Bowa Vida|Oyebaka bowa vida
Le temps passe et ne fais que passer                                                                                                Attrape ton temps quand le temps passe, il ne reviendra pas en arrière|Tango ezali kokende se kokende oh ma                                    Kanga ya yo tango tango ekoleka muana ekozonga simate
Omba, j’ai fais tout ce que un vrais Homme fait lorsqu’il aime, ou qu’il soit devenu dingue d’amour   Mais tes parents refuse que nous nous marions   Parce que je suis d’une autre région   J’ai fais des carêmes dans les groupes de prières   Je suis devenu frère en Christ à cause de toi Omba   Mais il me manque la patience  Car j’ai été attiré par le profit   Comme ceci dure   Omba je deviens home à problème|Omba nasali nyonso,oyo mobali ya solo asalaka soki alingi to akomi zoba na bolingo oh o  Kasi baboti no ba boyi yanga nayo to kwelana   Pona zali moto ya région mosusu eh  Na sali ba carêmes na groupe de prière  Na komi frère en Christ po na yo Omba   Kasi patience ezangi ngaï  Pona landaki se profit  Lokola eh wumeli  Omba nakomi luka mambu eh
Je regarde a gauche, a droite, en haut et en bas, je ne vois personne qui pourra me rattraper  La responsabilité, puis la profondeur de l’amour que je porte   Le caché c’est mal   Omba je deviens dingue|Na tali gauche, droite likolo pe na se, na moni nani te oyo ako yambela ngaï  Mokumba pe mozindo ya bolingo na memi  Ko bomba eza mabé  Omba na komi zoba zoba
Omba, j’ai fais tout ce que un vrais Homme fait lorsqu’il aime, ou qu’il soit devenu dingue d’amour   Mais tes parents refuse que nous nous marions   Parce que je suis d’une autre région   J’ai fais des carêmes dans les groupes de prières   Je suis devenu frère en Christ à cause de toi Omba   Mais il me manque la patience  Car j’ai été attiré par la beauté   Comme ceci dure   Omba je deviens home à problème|Omba nasali nyonso, oyo mobali ya solo asalaka soki alingi to akomi zoba na bolingo oh o  Kasi baboti no baboyi ya nga nayo to kwelana   Pona zali moto ya région mosusu eh  Na sali ba carêmes na groupe de prière  Na komi frère en Christ po na yo Omba   Kasi patience ezangi ngai  Pona landaki se beauté  Lokola eh wumeli  Omba nakomi luka mambu eh
Je regarde a gauche, a droite, en haut et en bas, je ne vois personne qui pourra me rattraper  La responsabilité, puis la profondeur de l’amour que je porte   Le caché c’est mal   Omba je deviens dingue|Na tali gauche, droite likolo pe na se,na moni nani te oyo ako yambela ngaï  Mokumba pe mozindo ya bolingo na memi  Kobomba eza mabé  Yango na komi zoba zoba hum
Omba si toi et moi, ce ne sont que des paroles   Je te demande de laissé la porte de ton cœur ouverte   Le jour en question que je vienne comme un voleur   Que j’aille dormir dans ton cœur   Que j’ai sommeil, et que je mets même à ronfler   Jusqu’à ce que le propriétaire de la place me trouve  Qu’il ait peur, qu’il s’enfuit, puis me laisse Omba|Omba soki ya nga na yo ezali se ya maloba  Na sengi otika motema na yo polélé  Jour ango naya na ngaï lokola moyibi eh  Na ya kolala na kati ya motema na yo  Na zwa pongi na banda kutu na ko ronfler  kino kolo ebonga akoya akuta ngaï eh  Ayoka somo akima atikela nga Omba ah, Omba ah
Omba si toi et moi, ce ne sont que des paroles   Je te demande de laissé la porte de ton cœur ouverte   Le jour en question que je vienne comme un fou   Pour qu’en mange à la belle étoile   Quand le propriétaire va venir nous trouver   Qu’il ait peur, et te quitte pour infidélité   Que j’en profite pour t’oblige à te marier avec moi, Omba la jumelle de Sharon|Omba soki ya nga na yo ezali se ya maloba  Na sengi otika porte ya motema  polélé  Jour ango naya na ngaï lokola kilawu eh   Bongo to lya lipati ya bengengi na sanza   Tango Kolo ebonga akoya akuta biso   Ayoka somo atika yo po na infidélité  Na profité ba balisa nga yo na makasi Omba, lipasa ya Sharon
Essai de demander a ton papa ou ta maman   Comment ils ont fait pour être unis   Ils te diront surement que c’est la patience   C’est la clé d’or de toute réussite   Beaucoup on été malmené, certains même ce sont fait tabasser  Beaucoup se sont fait insulté, d’autres on été malmené   Pour quoi ne veux-tu pas, que nous fassions pareil chérie|Meka ko tuna na papa to na mama  Ndégé nini bango basala po ba zala unis  Ba ko yebisa yo surement kaka patience  Yango ezali la clef d'or de toute  réussite  Mingi ba nyokwama basusu ba betama  Mingi ba fingama basusu pe ba nyokwama  Pour quoi yo olingi tosala  nga na yo bongo te  chérie, Omba ah
Simone de BEAUVOIR avait écrit dans son livre   Quand la pauvreté entre par la porte Omba   L’amour s’enfuit par la fenêtre, je l’admets|Simone de Beauvoir alobaki na livre na yé   Quand la pauvreté entre par la porte Omba   L'amour s'enfuit par la fenêtre na ndimi yango
Si j’étais comme Adam BOMBOLE   Si j’étais comme André KIMBUTA   Si j’étais comme le président Patchéli   Je t’aurais construit un château dans la ville de MONACO   Je mettrai des gardes de cops, qu’on ouvrira qu’à la main   Pas d’entrée ni de sortie, rien que moi   Je remplirai cette maison de provision   Pas d’entrée ni de sortie   Comme cela j’aurais l’assurance   Que tu es à moi|Soki na zalaki lokola Adam BOMBOLE  Soki na zalaki lokola  André KIMBUTA  Soki na zalaki lokola Président Patchéli  Mbe na tongela yo chateau na ville ya MONACO  Na tia ba gardes du corps ko fongola kaka na maboko  Ko kota té ko bima té kaka nga moko  Na tondisa provision na kati ya ndako yango  ko kota té ko bima té  wana na kozala n‘assurance   Yo zali wa nga
Omba si cet amour, est un plat cuisiné pour jouer avec   Je l’accepte, mais que ce soit pour être mangé avec la bouche   Pas par le menton si non, cela ne nous donnera pas envie   Jadis les jeunes filles faisaient ainsi   Si elle s’est attachée à une personne   Et que les parents le lui interdise, elle va s’énerver  Elle va menacer de prendre du poison   Jusqu’à ce qu’on lui laisse faire son choix tranquillement|Omba soki bolingo ango eza ya liyoto eh  Na ndimi kasi ezala ya kolya na monoko  Ya banga té, si non et ko pesa biso mposa té   Kala kala ba jeunes filles bazalaki kosala   Soki asi atingami na moto na yé eh   Et que ba parents ba pekisi yé a ko silika   A ko menacé komela kutu na poison eh  Kino ba tika yé asala choix na yé na malembé,  Omba ah, Omba ah Omba ah,Omba ah Omba eh     
SANGI PUMBA   Il est toujours difficile d'être aimé, qu'aimer|SANGI PUMBA  Il est toujours difficile d'être aimé, qu'aimer
SANGI PUMBA je viens te demander   S'il n y a pas moyen que l'on se sépare   Trop de mal a été fait, le cœur n y est plus   Je te rends ta liberté, pour-que tu puisses t'amuser   Je refuse que mes yeux regardent une chose  Une chose que demain je perdrai|SANGI PUMBA na ye nde kosenga yo Soki moyen ezali tokabuana  Mabe eleki, motema mobebi eh  Na pesa yo liberté osakana  Naboyi miso na nga etala eloko Eloko ekobunga lobi oh mama
Me voici sur le chemin du retour   Avec un fardeau sur la tête   Je ne suis plus jaloux, ma patience a ses limites   Je vous donne la permission de vous marier  Si un enfant veut jouer avec le feu   Laisser le faire, le jour où il se brûlera il le comprendra|Ngaï oyo nakomi nde kozonga  Na sanduku ya makambo na moto Na longoli zuwa patience esili eh  Na pessa bino permission bobalana  Soki muana elingi kosimba moto Botika ye asimba mokolo akozika akoyeba
Hier encore, je vous ai trouvés ensemble   Bras dessus, entrain de s'embrasser   Tu as ouvert les yeux, tu m'as vu et tu as baissé ton regard   Tu as eu honte et tu t'es mise à pleurer   Arrête cette hypocrisie, tu n'as qu'un seul cœur   Comment pourrais-tu nous aimer tous les deux  Tu vas me mettre où ?|Lobi lisusu nakutaki yo na ye  Bras dessus ekopi na monoko  Ofongoli miso otali nga okitisi elongi Oyoki soni obandi se kolela  Tika hypocrisie ozali na motema moko Ndege nini okolinga biso mibale  Oko tia nga wapi ?
REFRAIN  Économise tes larmes  Tu ne pleures que pour tes péchés   Je refuse que tu me touches   Tes mains sont entachées de sang   Le sang de mon cœur que tu as blessé   Tu m'as planté une flèche   Va te faire laver les mains   Chez un prêtre avec de l'eau bénite|REFRAIN Bomba mayi nayo ya miso  Oko lela masumu nayo  Naboyi osimba nga na nzoto  Maboko nayo matondi makila  Makila ya motema na nga ozokisi Otubi nga nde likonga eh  Kende basukola yo maboko eh   Epayi ya sango na eau bénite oh mama
Toi seule as choisie ce chemin   Je te souhaite seulement bonne chance   Avec lui, soit un peu fidèle   Ne le traite pas de la même façon que tu m'as traitée   Une femme n'a jamais deux maris  Depuis nos ancêtres   Ne gâche rien, pour que tu cherches à retourner avec moi   Tu me trouveras déjà marié et tu me donneras la faute|Yo moko oponi nzela wana eh  Natombeli yo kaka chance  Epayi na ye zala mwa fidèle  Kosala ye ndenge osali nga te oh Mwasi azalaka na mibali mibale te  Banda bokoko na biso eh  Kobebisa te sima ozongela ngaï Okokuta nga na si na bala oko pesa nga faute
Si un jour KINTSALA  Tu cueilles une fleur rose   Même si son cœur est fané  Ne la jette pas encore   Il se peut que ce soit la dernière   Qui se trouve dans les champs   Tu retourneras en chercher, tu vas regretter   Il n'y aura plus d'autres fleurs|Soki mokolo mosusu KINTSALA Obuki fleur rose  Atako motema na yango enuna  Kobwaka yango nanu te oh  Tango mosusu se yango ya suka  Oyet'etikala na kati y'elanga  Oko ya kozonga sima oko regretter Fleur mosusu ezali te PATRICK MANGASA
Enlève ta main sur la joue   Arrête cette hypocrisie  Je refuse ton pardon pas sincère   Dis plutôt merci à ma patience  La où tu es partie le conseil que je te donne   Reste à la maison et attends la richesse   Ne gâche rien, pour retourner avec moi   Tu trouveras la porte fermée et un chien méchant|Longola loboko na litama Tika kosala hypocrisie Naboyi pardon na yo ya litsho  Pesa merci na patience na nga  Epayi okei toli napesi yo Vanda na ndako zela se bomengo  Kobebisa te sima ozongela ngaï Okokuta porte bakanga et chien méchant
SANGI PUMBA   Je t’avais dit    N'écris pas mon nom sur le sable   Surtout quand les vagues arrivent   Écris le sur un caillou   Même les MARTINS-PÊCHEURS viendront le lire   Tu sais bien chérie, que je suis un poisson   C'est vrai que j'adore l'eau   Mais l'eau chaude, je ne la supporte pas|SANGI PUMBA Nalobaki na yo    Ko koma kombo na ngaï likolo ya zelo te mama  Surtout tango mbonge ezali koya  Koma yango likolo ya libanga  Ata ba MARTIN-PÊCHEURS ba koya kotanga  Oyebi bien que mama ngaï nazali mbisi  Ya solo na lula mayi  Kasi oyo ya moto na lingaka te
Toi seule as choisie ce chemin   Je te souhaite seulement bonne chance   Avec lui soit un peu sérieuse  Ne le traite pas de la même façon que tu m'as traitée  Une femme n'a jamais deux maris  Depuis nos ancêtres   Ne gâche rien, pour retourner avec moi  Tu me trouveras déjà marié et tu me donneras la faute|Yo moko oponi nzela wana eh  Natombeli yo kaka chance Epayi na ye zala mwa sérieuse  Kosala ye ndenge osali nga te oh  Mwasi azalaka na mibali mibale te  Banda bokoko na biso eh  Kobebisa te sima ozongela ngaï Okokuta nga na si na bala oko pesa nga faute
SANGI PUMBA  Entre mes mains  Tu as fait le désordre   Comme chaque enfant le fait chez ses parents   Mais ce n'est pour autant que je t'ai quitté   Là ou tu es partie, montre lui de la fidélité chérie   Ne le traite pas de la même façon que tu m'as traitée  Ainsi tu auras le bonheur   Je crains qu'il te quitte assez vite   Tu vas errer pour rien   Cela me fera mal   Tu sais que, je t'ai beaucoup aimé|SANGI PUMBA Na maboko na ngaï Osalaki mobulu  Lokola mwana nioso akosalaka na ndako ya tata na mama  Kasi naboyaka yo te  Epay'okei lakisa ye fidélité chérie  Kosala ye ndenge osali nga te Nde ozui bomengo  Nazali kobanga noki oboya yo  Okoya ko telengana ya pamba  Oko sala ngaï mpasi  Oyebi que, nalingaki yo mingi
REFRAIN  Économise tes larmes  Tu ne pleures que pour tes péchés   Je refuse que tu me touches   Tes mains sont entachées de sang   Le sang de mon cœur que tu as blessé   Tu m'as planté une flèche   Va te faire laver les mains   Chez un prêtre avec de l'eau bénite|REFRAIN Bomba mayi nayo ya miso eh Oko lela masumu nayo  Naboyi osimba nga na nzoto  Maboko nayo matondi makila  Makila ya motema na nga ozokisi Otubi nga nde likonga eh  Kende basukola yo maboko  Epayi ya sango na eau bénite oh mama
Eh eh   Eeeeehh  Ça c'est une malchance   Ça c'est une malchance  Eh eh   Eeeeehh|Eh eh  Eeeeehh Oyo malchance  Oyo lisuma  Eh eh  Eeeeehh
Le plaisir de ta façon de parler a pris corps   C’est devenu comme la main qui caresse  Ta beauté m’a coupé le souffle   Alors que parmi les filles, tu es la plus sensible Annie Ndembo|Elengi ya ko loba na yo elati nzoto oh  Ekomi lokola loboko ya caresse   Kitoko na yo emelisi ngaï m’pema   Ndzoka ndé parmis les filles y’oza la plus sensible … Annie Ndembo oh
Ta voix, a déclenché chez moi la chimie du désir   J’ai jamais vue, de ma vie une telle élégance de folie   Que je te donne le biberon   Une étape de mon corps Annie Ndembo|Mongongo na yo e déclenché nga  chimie ya désir   Jamais vue de ma vie élegance ya liboma   Na melisa yo hooo biberon   Etape ya nzoto na ngaï Annie Ndembo oh
Tu es si douce, si chaude Annie   Tes mains sont un plaisir   Je deviens hypnotisé  Que me réserve cet amour   Il est plus fort que moi, il rentre et sort librement|Tu es si douce, si chaude Annie   Maboko na yo elengi eh he he   Nakomi hypnotisé eh   Nini eza koyela nga bolingo oyo   Eleki nga na force ezali ko koto e kobima librement
2x  J’ai l’impression comme si tout le monde  Tout autour de moi comprenne  L’effet des sentiments que j’éprouve|2x  J’ai l’impression comme si, bato nioso   Tout autours de moi, bazo comprendre  Effet ya sentiment nga n’azo yoka oh hoo
Attrape-moi, par le corps   Que je pénètre le rêve d’amour, qui est le sentiment de la chimie du désir   Ya plus moyen d’attendre   Je me suis mordue la langue, pour arrêté l’addiction de ta douceur|Simba ngaï na nzoto   Na kota ndoto ya bolingo ndé sentiment ya chimie du désire Annie  Moyen lisusu ya kozela ezali té   Na mi swi mino okati ya litama po na kokanga addiction ya elengi na yo oh
Tes paroles sont adorables, chante dans mon oreille   Je vais crier,   Ouvre la porte de ta chemise  Que je touche la pelouse de la véranda de ton cœur|…  …   …
Laisse-moi danser, Annie Ndembo oh, j’en meurs d’envie   Fais moi danser, satisfait moi, j’en meurs d’envie   Au premier rang, dans tes bras Annie Ndembo|Maloba na yo adorable, yembelaka nga ata na litoyi ih   Nako ya ko ganga esala moli, molimo nzoto oh Annie Ndembo o  Fongola porte ya chemise na yo   Na toucher ata pelouse ya véranda ya motema eh
Laisse moi danser, viens vite, j’en meurs d’envie   Fais-moi danser, plus tard plus tard, j’en meurs d’envie   Au premier rang, dans tes bras Annie Ndembo|Laisse-moi danser, Annie Ndembo oh, j’en meurs d’envie   Fais moi danser, satisfait moi, j’en meurs d’envie   Au premier rang na maboko ma yo Annie Ndembo
Tu es très bon, très fort en amour   Ton amour plein de folie puis d’inventivité   Mon corps est le complice du rythme de ton corps|Laisse-moi danser, yaka mbangu uh, j’en meurs d’envie   Fais-moi danser, plus tard plus tard, j’en meurs d’envie   Au premier rang na maboko ma yo Annie Ndembo
Si tu te lève   …  Si tu grille   Je vais donner cent   Si tu t’accroupi   Moi aussi je m’accroupi   Si tu te mets à genou   Moi aussi je me mets à genou  Si tu m’appel   Je vais répondre oui chérie|Oza très bon, très fort na l’amour   Amour na yo plein de folie, et d’inventivité   Nzoto na ngaï complice ya rythme ya nzoto na yo eh
J’ai retrouvé, le gout des caresses, puis des sentiments   Je rajoute l’amour dans l’assiette de caprice   J’ajoute encore|Soki o telemi   Nga na yanduki eh   Soki o kalingi ih  Nga na ko pesa cent   Soki o kumbami   Nga m’pe na kumbami eh   Soki o fukami   Nga m’pe na fukami ih   Soki ozo benga ngaï  N’azo répondre oui chérie
Attrape-moi, par le corps   Que je pénètre le rêve d’amour, qui est le sentiment de la chimie du désir   Ya plus moyen d’attendre   Je me suis mordue la langue, pour arrêté l’addiction de ta douceur|J’ai retrouvé goût y’a caresse, m’pe na sentiment   Na bakisi bolingo na sagni ya caprice   J’ajoute encore
Tes paroles sont adorables, chante dans mon oreille   Je vais crier …|Simba ngaï na nzoto   Na kota ndoto ya bolingo ndé sentiment ya chimie du désire Annie  Moyen lisusu ya kozela ezali té   Na mi swi mino okati ya litama po na kokanga addiction ya elengi na yo oh
Laisse-moi danser, plus tard plus tard, j’en meurs d’envie   Fais-moi danser, frappe vite, j’en meurs d’envie   Au premier rang, dans tes bras   Tu es très bon, très fort en amour   Mon corps est le complice du rythme de ton corps|Maloba na yo adorable, yembelaka nga ata na litoyi ih   Nako ya ko ganga ….[dedicaces]
Si tu te lève   …  Si tu grille   Je vais donner cent   Si tu t’accroupi   Moi aussi je m’accroupi   Si tu m’appel   Je vais répondre oui chérie|Laisse-moi danser, plus tard plus tard, j’en meurs d’envie   Fais-moi danser, beta mbagu uh, j’en meurs d’envie   Au premier rang na maboko ma yo  Oza très bon, très fort na l’amour   Nzoto na ngaï complice ya rythme ya nzoto na yo eh
J’ai retrouvé, le gout des caresses, puis des sentiments   Je rajoute l’amour dans ton assiette   J’ajoute encore|Soki o telemi   Nga na yanduki eh   Soki o kalingi ih  Nga na ko pesa cent   Soki o kumbami   Nga m’pe na kumbami eh   Soki ozo benga ngaï  N’azo répondre oui chérie
Je commence à crier Annie   Tellement cet amour me dépasse|J’ai retrouvé goût y’a caresse, m’pe na sentiment   Na bakisi bolingo na sagni na yo  J’ajoute encore
Pour quoi nous les Hommes  Nous acceptons tout le temps que Dieu est le Roi   La naissance et la mort sont le domaine de Dieu   Que tu sois dans le besoin ou riche, c’est sa volonté|Pona nini biso bato   To ndima tango nioso Nzambé mokonzi   M’botama to liwa ezali se ya Nzambé   Ozangi, ozwi se ngouya nayé
Pour quoi alors  Si tu perds un être aimé   La souffrance envahi ton cœur   Tu pleurs, et tu dis mon Dieu c’est injuste|Tina nini lisusu   Soki okufeli moto olingaka   Pasi elekeli yo na motema  Oleli, olobi mon Dieu c’est injuste
Pour quoi alors  Si tu perds un être aimé   La souffrance envahi ton cœur   Tu pleurs, et tu dis mon Dieu c’est injuste|Tina nini lisusu   Soki okufeli moto olingaka   Pasi elekeli yo na motema  Oleli, olobi mon Dieu c’est injuste
Pour quoi nous les Hommes  Nous acceptons tout le temps que Dieu est le Roi   La naissance et la mort sont le domaine de Dieu   Que tu sois dans le besoin ou riche, c’est sa volonté|Pona nini biso bato   To ndima tango nioso Nzambé mokonzi   M’botama to liwa ezali se ya Nzambé   Ozangi, ozwi se ngouya nayé oh
Pour quoi alors  Si tu perds un être aimé   La souffrance envahi ton cœur   Tu pleurs, et tu dis mon Dieu c’est injuste|Tina nini lisusu   Soki okufeli moto olingaka   Pasi elekeli yo na motema  Oleli, olobi mon Dieu c’est injuste
Pour quoi le deuil   Alors que demain, ca sera la fête, que la fête   Maman Théthé est pari, Dalhia est née   Quoi qu’il arrive, ils vont se voir là-bas|Tina nini mokuya   Lobi na lobi se fêti na fêti   Ma théthé akeyi Dalhia a botami   Atandélé ba ko kutana se kuna
2x  Maman je te le dit   Apres ta mort y’aura pas de deuil   Si tu as rejoins Dieu le père   Les pleurs n’ont plus de raison d’être|2x  Mama nako yebisa yo ah   Sima ya liwa na yo pili te   Soki o zongeli Kolo Nzambé  Bilelo eza lisusu na tina té
Pour quoi le deuil   Alors que demain, ca sera la fête, que la fête   Maman Théthé est parti, Dalhia est née   Quoi qu’il arrive, ils vont se voir là-bas|Tina nini mokuya   Lobi na lobi se fêti na fêti   Ma théthé akeyi Dalhia a botami   Atandélé ba ko kutana se kuna
2x  Maman je te le dit   Apres ta mort y’aura pas de deuil   Si tu as rejoins Dieu le père   Les pleurs n’ont plus de raison d’être|2x  Mama nako yebisa yo ah   Sima ya liwa na yo pili te   Soki o zongeli Kolo Nzambé  Bilelo eza lisusu na tina té
Pour quoi alors  Si tu perds un être aimé   La souffrance envahi ton cœur   Tu pleurs, et tu dis mon Dieu c’est injuste|Oooh tina nini lisusu   Soki okufeli moto olingaka   Pasi elekeli yo na motema  Oleli, olobi mon Dieu c’est injuste
Pour quoi alors  Si tu perds un être aimé   La souffrance envahi ton cœur   Tu pleurs, et tu dis mon Dieu c’est injuste|Oooh tina nini lisusu   Soki okufeli moto olingaka   Pasi elekeli yo na motema  Oleli, olobi mon Dieu c’est injuste
Pour quoi le deuil   Alors que demain, ca sera la fête, que la fête   Maman Théthé est parti, Dalhia est née   Quoi qu’il arrive, ils vont se voir là-bas|Tina nini mokuya   Lobi na lobi se fêti na fêti   Ma théthé akeyi Dalhia a botami   Atandélé ba ko kutana se kuna aaah
Pour quoi le deuil   Alors que demain, ca sera la fête, que la fête   Maman Théthé est parti, Dalhia est née   Quoi qu’il arrive, ils vont se voir ah|Tina nini mokuya   Lobi na lobi se fêti na fêti   Ma théthé akeyi Dalhia a botami   Atandélé ba ko kutana ah    
Parler :                                                                                                       Viens                                                                                                       N’hésite pas viens                                                                                                        Te regarder sans te toucher c’est ca mon problème|Parler :                                          Viens                                          N’hésite pas viens                                           Te regarde sans te toucher c’est ca mon problème
Je suis à toi pour toute ma vie                                                                                                        Je t’ai donné mon cœur tout entier                                                                                                        Mon annulaire de la main gauche porte une couronne pour l’éternité                                                                                                        Un bijou en or, je suis occupé                                                                                                        Je suis mariée à Alain BARRACUDA|Je suis à toi pour toute ma vie                                           Je t’ai donné cœur tout entier                                           Annulaire na nga ya loboko ya mouassi elati couronne pour l’éternité                                           Palata ya wolo je suis occupé, je suis marié Alain BARRACUDA
Te regarder sans te toucher c’est ca mon problème                                                                                                        Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA|Te regarde sans te toucher c’est ca mon problème                                           Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA
Mes oreilles chou réclament ta voix                                                                                                       Un bon matin, mes oreilles ce sont bouchées                                                                                                       Je suis allé prier, le pasteur m’a dit que je n’étendrai  plus chéri                                                                                                        Tant que tu ne reviendras pas me faire le rituel traditionnel et me dire ce qui suit :|Mes oreilles chou réclament ta voix                                          Un bon matin, ma toyi ma nga bouché                                           Na key na prière pasteur a lobi que na ko yoka lisusu te Chéri                                          Tant que yo oko zonga te ossala rituel traditionnel o loba na nga ce qui suit
Ton sourire est une lumière, le soleil de mon cœur                                                                                                        T’es un saphir sur le cou de la mère Reine  Alain BARRACUDA|Sourire  na yo eza lumière soleil de mon cœur                                           Ozali saphir na kingo ya keen mother Alain BARRACUDA 
Mon nez souffre de la sinusite                                                                                                       Dans mon frigo, les médicaments et les provisions                                                                                                         Commencent a se quereller parce que les médicaments sont plus nombreux que les provisions                                                                                                       Ils se sont confiner et commence a se disputer une place                                                                                                        Les ordonnances on dirait le bureau d’Adam BOMBOLE|Zolo na nga ebeli sinusite dans mon frigo ba kissi ba provision                                          Ekomi ko se quereller pamba te                                           Kissi kutu eleki provision na quantité                                          Bakomi ko se confiné ba weli essika                                           Ba ordonnance on dirait bureau ya Adam BOMBOLE 
Le médecin ma prescrit un seule médicament                                                                                                        Le  parfum de ton corps matin, midi, soir Alain BARRACUDA|Médecin a komeli nga kissi se moko (2x)                                          Parfum ya nzoto nayo matin midi soir Alain BARAKUDA
Dédicace …|Dédicaces …
Tu préfère que je souffre, pour que tu reviennes afin que je sois guéri|Tu préfères na souffrir bongo ozanga na bika
Le corbillard commence à sillonner dans mes pensées|Corbillard ekomi ko silloner na ba pensées na nga
Reviens à moi Alain BARRACUDA                                                                                                        Reviens à moi chéri, je serai perdu                                                                                                       Si tu me laisse toute seule isolé|Zongela Alain BARAKUDA                                           Reviens à moi chéri na ko wanzéee                                           Otika nga ngamoko isolé
Tes permissions de service                                                                                                       Un certain con et les rivales vont en profiter                                                                                                        Laissez-moi mon bébé s’il vous plait|Ba permission na yo eh de service                                           Un certain con na ba banda bako profiteeee yeh yeh                                          Bo tikela nga bébé na nga s’il vous plait
Si avant que tu sois revenu le destin décide que je meurs chéri                                                                                                       Je te laisserai sur le lit, mon alliance a titre posthume|Soki avant yo ozonga destin e décidé                                           Na kufa na nga cherie                                           Na kotikela yo sur le lit alliance na nga a titre posthume
Dédicace …|Dédicaces ...
Mon lit est inondé de larmes                                                                                                        Ma chambre a lueur sans saveur                                                                                                        Mon cœur commence à marcher avec des béquilles, que c’est triste|Mbeto na nga inondé de larmes                                           Chambre na nga lueur sans saveur                                           Motema na nga ekomi ko tambola na ba béquillée maya ah
Comme un ange malade, j’ai plus de moyen de m’envoler pour te suivre BARRACUDA                                                                                                        Tous les envie de mon corps ont pris un coup de pluie, que c’est triste|Comme un ange malade moyen we na pibwa pour te suivre BARRACUDA                                           Ba posa na nga nioso ya nzoto enokoli mboula maya ah
Refrain|Refrain
Te regarde sans te toucher c’est ca mon problème (8x)                                                                                                       Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA                                                                                                        Dédicace …|Te regarde sans te toucher c’est ca mon problème (8x)                                          Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA                                           Dédicaces  …
Mon histoire est longue                                                                                                 La dernière partie de ma vie est assez longue pour que je puisse te la raconter entièrement|Lisolo  na ngai eza molayi e                            Eteni ya suka ya la vie na ngai eza molayi assez pona sololela                            Yo tout ,tout uu
Mes sentiment ne rêve que de toi                                                                                                La couleur de la tendresse c'est ton sourire                                                                                                L'amour t'a choisi. Jettes un coup d'œil ou je me trouve                                                                                                Ho hoo ho ho ho ho|Sentiment na nga,ndoto na ngo yo                            tendrese  couleur na yango sourire na yo                            amour eponi yo buaka miso epa naza                            ho hoo ho ho ho ho
Ne me quittes pas aujourd'hui ni demain                                                                                                Donnes-toi du temps pour m'aimer                                                                                                Mon état-civil  tu l’as change                                                                                                 Ce que disent les gens n’est jamais bien|Koboya nga lelo te,lobi te                            Mipesa temps ya kolinga ngai ee                            Etat-civil na ngai o changea di                            Maloba ya bato jamais ekozalaka                             Ya bien hein hein hein
Sois toujours proche de cet endroit ou je te place                                                                                                 N'arrête pas Aline, tu me laisseras en morceaux, avec ton amour qui ma pénètreé jusque dans les sens uniques du cerveau                                                                                                 L'amour c'est l'avion du cœur|Zala toujours pene esika ba tiaka maman                            Kata te Aline okotika ngai ndambo, n’amour na yo ekoti ngai ti na ba sens unique                            Ya bongo,molingani pepo ya motema
